[10-01-2026 16:19:41] 	 ERROR 	 Log nr 1
[10-01-2026 16:19:41] 	 WARN 	 Log nr 2
[10-01-2026 16:19:41] 	 ERROR 	 Log nr 3
[10-01-2026 16:19:41] 	 INFO 	 Log nr 4
[10-01-2026 16:19:41] 	 INFO 	 Log nr 5
[10-01-2026 16:19:41] 	 WARN 	 Log nr 6
[10-01-2026 16:19:41] 	 INFO 	 Log nr 7
[10-01-2026 16:19:41] 	 ERROR 	 Log nr 8
[10-01-2026 16:19:41] 	 INFO 	 Log nr 9
[10-01-2026 16:19:41] 	 WARN 	 Log nr 10
[10-01-2026 16:19:41] 	 WARN 	 Log nr 11
[10-01-2026 16:19:41] 	 ERROR 	 Log nr 12
[10-01-2026 16:19:41] 	 INFO 	 Log nr 13
